seller_id,months_active,category,gmv_monthly,commission_rate,num_orders,avg_order_value,return_rate,return_cost_estimate,support_tickets_monthly,marketing_spend,seller_tier,registration_source,net_margin_contribution,is_active
S0297,36,accessories,1729,0.204,13,133.04,0.05,27,0,555,standard,referral,344,1
S0298,11,outerwear,28222,0.158,98,287.98,0.355,2105,18,4473,negotiated,paid_campaign,883,0
S0299,17,accessories,10677,0.225,76,140.48,0.076,269,2,678,standard,paid_campaign,1891,0
S0300,21,sportswear,19724,0.201,92,214.39,0.224,1197,0,824,standard,organic,2660,1
S0301,24,jewelry,6174,0.237,26,237.45,0.065,120,0,0,standard,partner,1372,1
S0302,7,outerwear,6123,0.209,30,204.11,0.115,199,0,2003,standard,paid_campaign,1082,1
S0303,1,accessories,6352,0.233,36,176.44,0.11,222,1,389,standard,paid_campaign,1141,1
S0304,29,accessories,26186,0.146,385,68.02,0.323,3100,15,2761,negotiated,paid_campaign,-554,1
S0305,28,dresses,33130,0.14,210,157.76,0.357,2780,20,3071,negotiated,organic,175,1
S0306,6,sportswear,5574,0.225,42,132.72,0.12,226,2,682,standard,organic,872,1
S0307,15,jewelry,1685,0.231,6,280.84,0.05,24,0,1579,standard,organic,415,1
S0308,10,sportswear,1653,0.201,9,183.65,0.05,23,0,609,standard,referral,314,1
S0309,5,dresses,5683,0.202,29,195.97,0.05,79,0,1583,standard,paid_campaign,1054,1
S0310,6,underwear,17565,0.209,117,150.13,0.083,450,1,1803,standard,organic,3119,1
S0311,33,underwear,5429,0.216,87,62.4,0.065,161,0,0,standard,organic,1022,1
S0312,15,bags,2454,0.216,7,350.51,0.05,32,0,0,standard,paid_campaign,423,1
S0313,34,accessories,5713,0.205,42,136.01,0.129,232,2,0,standard,partner,720,1
S0314,10,shoes,50772,0.163,250,203.09,0.321,3860,10,1929,negotiated,referral,3363,1
S0315,18,accessories,22344,0.144,132,169.27,0.206,1071,13,1184,negotiated,paid_campaign,1092,1
S0316,11,underwear,33190,0.174,588,56.45,0.297,4335,20,3704,negotiated,organic,-250,1
S0317,21,jewelry,20729,0.23,45,460.66,0.194,1056,0,259,standard,partner,3603,1
S0318,3,dresses,10195,0.229,54,188.8,0.122,384,1,1882,standard,partner,1837,1
S0319,19,jewelry,2681,0.231,9,297.86,0.05,38,0,0,standard,paid_campaign,637,1
S0320,35,shoes,5839,0.233,44,132.71,0.113,228,1,0,standard,organic,1030,1
S0321,11,shoes,13298,0.169,178,74.71,0.195,959,11,4471,negotiated,referral,407,1
S0322,22,bags,3808,0.215,10,380.84,0.112,109,2,484,standard,paid_campaign,449,1
S0323,9,jewelry,37204,0.168,246,151.24,0.205,2038,18,1886,negotiated,partner,2655,1
S0324,1,jewelry,25276,0.164,74,341.57,0.111,583,20,1570,negotiated,organic,1957,1
S0325,20,underwear,33305,0.14,464,71.78,0.32,3719,9,748,negotiated,organic,137,0
S0326,3,jewelry,1274,0.228,5,254.75,0.068,25,2,526,standard,organic,132,1
S0327,18,jewelry,23462,0.147,105,223.45,0.203,1020,22,792,negotiated,paid_campaign,698,1
S0328,23,sportswear,5877,0.229,34,172.86,0.093,173,2,2467,standard,partner,991,1
S0329,14,dresses,6395,0.235,16,399.72,0.247,431,0,2450,standard,referral,1061,1
S0330,21,shoes,6476,0.2,89,72.77,0.068,179,0,711,standard,referral,1139,1
S0331,9,jewelry,18106,0.233,49,369.52,0.219,1085,0,911,standard,paid_campaign,3058,1
S0332,36,sportswear,1650,0.217,18,91.65,0.05,31,2,0,standard,paid_campaign,250,1
S0333,25,bags,8781,0.239,46,190.9,0.05,139,1,914,standard,organic,1863,1
S0334,20,jewelry,7193,0.16,38,189.28,0.198,341,13,2362,negotiated,organic,-273,1
S0335,34,underwear,22836,0.15,112,203.9,0.251,1281,21,1193,negotiated,organic,467,1
S0336,6,shoes,20050,0.208,88,227.84,0.268,1471,0,1813,standard,organic,2620,1
S0337,8,sportswear,11654,0.208,143,81.5,0.059,270,0,0,standard,organic,2079,1
S0338,20,sportswear,5181,0.222,44,117.75,0.08,145,2,440,standard,paid_campaign,839,1
S0339,29,bags,5965,0.204,23,259.35,0.116,181,0,0,standard,paid_campaign,982,1
S0340,30,jewelry,8669,0.239,18,481.61,0.126,295,1,323,standard,paid_campaign,1704,1
S0341,2,underwear,38756,0.155,534,72.58,0.332,4654,10,3648,negotiated,organic,420,1
S0342,20,shoes,4165,0.223,32,130.16,0.05,70,2,0,standard,paid_campaign,713,1
S0343,22,bags,18612,0.215,80,232.65,0.173,900,1,0,standard,paid_campaign,2842,1
S0344,26,shoes,16646,0.219,232,71.75,0.151,1076,2,881,standard,organic,2312,1
S0345,1,outerwear,1525,0.226,5,305.05,0.195,82,0,0,standard,referral,275,1
S0346,28,underwear,17612,0.142,71,248.06,0.177,631,11,3567,negotiated,partner,976,1
S0347,23,dresses,5374,0.234,27,199.02,0.204,339,0,1417,standard,organic,876,1
S0348,25,outerwear,6626,0.228,30,220.88,0.1,196,1,1408,standard,referral,1226,1
S0349,28,dresses,9188,0.14,58,158.42,0.223,481,5,823,negotiated,organic,356,1
S0350,1,underwear,20839,0.218,95,219.36,0.168,1003,1,1180,standard,paid_campaign,3381,1
S0351,6,shoes,2551,0.215,13,196.26,0.05,37,0,1792,standard,organic,465,0
S0352,20,shoes,23237,0.161,148,157.01,0.146,870,7,1604,negotiated,partner,2258,1
S0353,20,sportswear,16762,0.213,103,162.74,0.264,1350,1,2016,standard,referral,2129,1
S0354,18,dresses,24633,0.14,125,197.06,0.329,1751,14,4140,negotiated,paid_campaign,554,1
S0355,34,sportswear,19564,0.23,165,118.57,0.236,1646,2,2039,standard,partner,2583,1
S0356,23,outerwear,3687,0.231,19,194.03,0.124,141,0,1842,standard,organic,661,1
S0357,28,bags,4745,0.219,10,474.53,0.06,71,2,0,standard,organic,820,1
S0358,30,shoes,2997,0.234,15,199.82,0.068,63,1,0,standard,referral,560,1
S0359,1,dresses,25105,0.153,94,267.07,0.257,1350,10,1910,negotiated,paid_campaign,1598,1
S0360,8,accessories,6667,0.201,39,170.94,0.174,335,2,0,standard,organic,873,1
S0361,30,jewelry,11843,0.207,48,246.73,0.099,314,0,708,standard,partner,2097,1
S0362,4,dresses,9037,0.206,26,347.58,0.126,284,0,0,standard,organic,1530,1
S0363,29,bags,17552,0.15,100,175.52,0.158,653,8,1147,negotiated,organic,1173,1
S0364,22,dresses,1685,0.206,6,280.9,0.1,44,2,0,standard,partner,117,1
S0365,23,jewelry,5888,0.234,23,255.99,0.123,212,0,108,standard,organic,1151,1
S0366,13,jewelry,5896,0.234,36,163.77,0.088,169,1,0,standard,organic,1086,1
S0367,16,dresses,7295,0.203,53,137.64,0.175,398,2,555,standard,paid_campaign,949,1
S0368,26,dresses,8650,0.218,25,345.99,0.105,237,0,0,standard,organic,1592,1
S0369,2,accessories,22192,0.175,95,233.6,0.232,1232,9,3835,negotiated,paid_campaign,1927,1
S0370,7,shoes,30588,0.147,181,169.0,0.229,1651,6,4571,negotiated,organic,2235,1
S0371,14,outerwear,17971,0.14,84,213.94,0.134,506,17,1959,negotiated,paid_campaign,598,1
S0372,25,dresses,4353,0.222,35,124.38,0.186,277,1,0,standard,referral,496,1
S0373,34,jewelry,22673,0.226,97,233.74,0.207,1362,1,2038,standard,paid_campaign,3561,1
S0374,13,underwear,7958,0.224,51,156.04,0.05,127,0,1978,standard,organic,1582,1
S0375,31,accessories,15948,0.149,68,234.53,0.211,717,12,2589,negotiated,organic,625,1
S0376,2,dresses,2897,0.225,19,152.5,0.151,141,1,0,standard,paid_campaign,359,1
S0377,27,shoes,6130,0.208,49,125.11,0.078,157,2,652,standard,partner,905,1
S0378,23,outerwear,4239,0.206,24,176.62,0.084,104,2,1030,standard,partner,669,1
S0379,11,sportswear,9954,0.207,62,160.55,0.068,203,1,0,standard,paid_campaign,1697,1
S0380,21,bags,5013,0.209,22,227.84,0.091,125,1,770,standard,paid_campaign,827,0
S0381,7,bags,4684,0.24,20,234.18,0.05,71,2,181,standard,paid_campaign,839,1
S0382,2,sportswear,21556,0.226,151,142.75,0.224,1599,0,0,standard,partner,3131,1
S0383,18,underwear,8108,0.2,47,172.5,0.064,149,2,0,standard,referral,1240,1
S0384,4,dresses,10896,0.165,49,222.37,0.122,309,15,3811,negotiated,organic,348,1
S0385,31,underwear,2405,0.203,12,200.46,0.077,51,2,432,standard,referral,281,1
S0386,32,dresses,18318,0.213,52,352.28,0.273,1278,1,1115,standard,paid_campaign,2510,1
S0387,26,shoes,5491,0.227,51,107.67,0.156,314,2,2358,standard,partner,784,0
S0388,9,sportswear,2546,0.22,19,134.03,0.05,42,0,1605,standard,paid_campaign,503,1
S0389,20,jewelry,30848,0.223,128,241.0,0.125,1100,2,883,standard,organic,5411,1
S0390,10,outerwear,12983,0.158,85,152.74,0.246,818,10,3284,negotiated,organic,361,0
S0391,29,underwear,4374,0.208,53,82.52,0.115,196,2,0,standard,paid_campaign,518,1
S0392,19,underwear,3213,0.206,16,200.83,0.059,53,1,475,standard,partner,579,0
S0393,36,shoes,49102,0.162,283,173.5,0.316,3855,19,2024,negotiated,organic,2432,1
S0394,6,accessories,19612,0.164,141,139.09,0.231,1232,11,3125,negotiated,paid_campaign,1006,1
S0395,28,dresses,11583,0.14,58,199.7,0.266,663,15,3214,negotiated,paid_campaign,-188,1
S0396,6,bags,6659,0.24,26,256.13,0.098,195,1,0,standard,organic,1309,0
S0397,12,bags,24314,0.177,61,398.59,0.163,851,17,898,negotiated,paid_campaign,2049,1
S0398,30,sportswear,16727,0.147,207,80.8,0.253,1408,22,2708,negotiated,referral,-661,1
S0399,32,accessories,6081,0.227,96,63.34,0.184,519,1,1281,standard,partner,759,1
S0400,11,underwear,9032,0.225,114,79.23,0.122,457,1,2064,standard,paid_campaign,1466,1
S0401,5,sportswear,5489,0.214,27,203.29,0.082,130,2,954,standard,paid_campaign,915,1
S0402,10,underwear,34107,0.173,222,153.63,0.28,2584,14,1722,negotiated,organic,2071,1
S0403,9,shoes,1313,0.204,9,145.9,0.086,35,0,2096,standard,partner,288,1
S0404,8,underwear,13946,0.176,63,221.36,0.216,734,21,3936,negotiated,organic,54,1
S0405,3,dresses,1809,0.203,14,129.18,0.135,78,2,368,standard,organic,115,1
S0406,13,shoes,3128,0.202,26,120.31,0.106,108,1,1911,standard,organic,462,1
S0407,1,accessories,45007,0.146,233,193.16,0.35,3523,21,4014,negotiated,paid_campaign,1206,0
S0408,7,jewelry,9322,0.14,34,274.19,0.102,185,8,4659,negotiated,organic,420,1
S0409,24,shoes,18134,0.14,312,58.12,0.086,621,15,1056,negotiated,paid_campaign,593,1
S0410,13,bags,6947,0.212,15,463.16,0.053,90,1,0,standard,partner,1259,1
S0411,7,outerwear,11096,0.216,30,369.88,0.089,253,2,304,standard,referral,1919,1
S0412,18,bags,2152,0.234,5,430.34,0.075,43,1,0,standard,referral,348,0
S0413,5,outerwear,2422,0.205,19,127.49,0.184,144,1,1608,standard,paid_campaign,342,1
S0414,32,jewelry,2899,0.225,12,241.58,0.082,68,0,1348,standard,paid_campaign,581,1
S0415,30,jewelry,17164,0.201,81,211.9,0.107,499,1,386,standard,organic,2776,1
S0416,35,shoes,14357,0.14,65,220.87,0.135,403,17,2694,negotiated,paid_campaign,286,1
S0417,24,dresses,3933,0.225,12,327.78,0.145,154,1,783,standard,organic,552,1
S0418,6,accessories,4480,0.214,71,63.1,0.091,184,1,235,standard,partner,656,1
S0419,21,sportswear,2177,0.218,17,128.06,0.176,128,1,2263,standard,paid_campaign,245,1
S0420,13,underwear,34226,0.155,165,207.43,0.326,2536,15,2735,negotiated,referral,1447,1
S0421,22,shoes,2613,0.24,16,163.29,0.066,57,1,1599,standard,organic,458,1
S0422,33,underwear,5067,0.233,25,202.69,0.101,157,2,1139,standard,paid_campaign,789,1
S0423,28,jewelry,52561,0.223,130,404.32,0.331,4525,0,2077,standard,partner,6903,1
S0424,18,shoes,3405,0.23,19,179.21,0.05,53,1,1085,standard,referral,614,1
S0425,3,jewelry,3682,0.208,15,245.45,0.05,50,0,845,standard,organic,679,1
S0426,21,jewelry,34425,0.148,74,465.2,0.285,1768,6,4837,negotiated,partner,2744,1
S0427,34,shoes,17571,0.14,180,97.62,0.05,258,9,1562,negotiated,partner,1520,1
S0428,29,accessories,3561,0.216,16,222.58,0.183,185,2,2345,standard,paid_campaign,419,1
S0429,24,accessories,27239,0.14,244,111.63,0.386,2885,22,2407,negotiated,paid_campaign,-834,1
S0430,1,shoes,2958,0.226,23,128.6,0.102,103,2,2049,standard,partner,412,0
S0431,32,bags,2062,0.236,7,294.54,0.125,74,1,2211,standard,paid_campaign,313,1
S0432,4,underwear,18217,0.22,210,86.75,0.141,1009,1,1850,standard,paid_campaign,2816,1
S0433,21,outerwear,1823,0.204,5,364.58,0.221,99,0,2427,standard,paid_campaign,269,1
S0434,15,bags,5215,0.211,33,158.04,0.191,305,0,537,standard,organic,786,1
S0435,17,outerwear,28665,0.14,171,167.63,0.338,2223,19,1392,negotiated,partner,159,1
S0436,18,accessories,33785,0.237,227,148.83,0.27,3081,2,639,standard,organic,4566,1
S0437,16,sportswear,3177,0.217,17,186.85,0.095,90,1,169,standard,paid_campaign,535,1
S0438,17,bags,17937,0.228,52,344.95,0.143,696,2,0,standard,organic,3142,1
S0439,25,dresses,4610,0.224,20,230.52,0.194,259,2,1536,standard,organic,657,1
S0440,17,outerwear,28045,0.153,180,155.8,0.384,2684,15,4451,negotiated,organic,372,1
S0441,29,jewelry,8081,0.211,40,202.02,0.098,226,1,496,standard,organic,1340,1
S0442,30,underwear,19725,0.217,90,219.17,0.225,1267,1,0,standard,paid_campaign,2899,1
S0443,12,accessories,36279,0.147,555,65.37,0.196,2677,21,4202,negotiated,paid_campaign,900,1
S0444,31,shoes,79524,0.14,471,168.84,0.471,8571,8,2274,negotiated,partner,1590,1
S0445,4,dresses,1366,0.229,5,273.2,0.13,50,2,0,standard,referral,106,1
S0446,19,accessories,5059,0.231,21,240.89,0.132,196,1,0,standard,paid_campaign,905,1
S0447,32,shoes,18887,0.237,148,127.62,0.18,1205,2,962,standard,paid_campaign,2973,1
S0448,15,dresses,1599,0.215,5,319.82,0.05,21,0,1122,standard,paid_campaign,333,0
S0449,20,outerwear,5862,0.219,22,266.47,0.204,329,0,1246,standard,referral,916,1
S0450,30,shoes,23146,0.159,180,128.59,0.235,1499,13,2100,negotiated,organic,1160,1
S0451,12,underwear,2218,0.218,9,246.44,0.217,134,2,2039,standard,organic,282,1
S0452,32,jewelry,4781,0.216,11,434.6,0.05,60,0,0,standard,organic,1000,1
S0453,2,dresses,6334,0.205,21,301.61,0.144,232,0,0,standard,organic,1015,1
S0454,8,jewelry,22368,0.172,110,203.35,0.18,990,11,887,negotiated,organic,1935,1
S0455,28,bags,3576,0.223,8,447.02,0.09,83,0,0,standard,partner,652,1
S0456,2,jewelry,5732,0.219,22,260.55,0.083,132,1,1839,standard,paid_campaign,1037,1
S0457,31,dresses,5365,0.22,29,184.99,0.173,279,2,1774,standard,organic,718,1
S0458,24,bags,2150,0.234,5,429.91,0.236,136,2,2220,standard,referral,139,1
S0459,27,outerwear,1291,0.227,5,258.24,0.082,30,0,0,standard,partner,287,1
S0460,15,shoes,2181,0.207,23,94.82,0.058,46,2,0,standard,organic,180,1
S0461,30,shoes,1810,0.235,9,201.15,0.102,57,1,2148,standard,partner,323,0
S0462,14,shoes,12781,0.204,157,81.41,0.131,650,2,0,standard,partner,1748,1
S0463,13,underwear,23030,0.158,113,203.81,0.16,853,8,1194,negotiated,paid_campaign,2112,1
S0464,27,accessories,3880,0.203,50,77.6,0.135,208,1,1096,standard,referral,432,1
S0465,5,dresses,3955,0.238,19,208.15,0.127,156,1,0,standard,organic,738,0
S0466,20,sportswear,9019,0.236,80,112.74,0.115,383,0,2452,standard,referral,1675,1
S0467,26,jewelry,26027,0.14,145,179.5,0.211,1228,11,4494,negotiated,partner,1498,1
S0468,35,outerwear,5440,0.209,29,187.58,0.227,357,2,1351,standard,paid_campaign,656,1
S0469,22,shoes,19081,0.14,77,247.8,0.114,436,6,3905,negotiated,referral,1688,1
S0470,16,outerwear,5292,0.224,20,264.61,0.12,178,1,0,standard,organic,951,1
S0471,14,dresses,4915,0.217,22,223.4,0.111,155,1,0,standard,paid_campaign,775,1
S0472,27,bags,29174,0.14,150,194.49,0.359,2274,13,3129,negotiated,organic,701,1
S0473,8,outerwear,19456,0.205,83,234.41,0.263,1376,0,178,standard,paid_campaign,2503,1
S0474,32,sportswear,2712,0.232,17,159.51,0.122,108,0,1112,standard,organic,498,1
S0475,30,outerwear,27614,0.218,90,306.82,0.284,2093,1,1241,standard,referral,3743,1
S0476,29,bags,1880,0.225,5,376.07,0.064,32,1,0,standard,referral,341,1
S0477,4,shoes,8644,0.228,56,154.35,0.121,340,2,1645,standard,partner,1452,1
S0478,21,jewelry,14254,0.211,86,165.74,0.169,726,0,0,standard,paid_campaign,2232,1
S0479,12,shoes,27782,0.234,409,67.93,0.148,1870,1,318,standard,organic,4464,1
S0480,10,dresses,22975,0.165,109,210.78,0.26,1411,15,1317,negotiated,paid_campaign,1144,1
S0481,21,bags,2340,0.23,8,292.48,0.117,77,2,0,standard,paid_campaign,292,1
S0482,10,shoes,5188,0.222,21,247.06,0.125,183,0,1076,standard,paid_campaign,897,1
S0483,31,sportswear,1503,0.218,15,100.18,0.103,57,0,2407,standard,organic,348,1
S0484,8,shoes,9166,0.234,47,195.01,0.084,239,1,0,standard,referral,1742,0
S0485,21,jewelry,4664,0.232,15,310.93,0.058,76,2,1624,standard,organic,871,1
S0486,5,jewelry,17109,0.167,37,462.4,0.218,744,18,3001,negotiated,paid_campaign,671,1
S0487,15,underwear,2824,0.215,14,201.68,0.132,108,2,399,standard,referral,278,1
S0488,14,jewelry,8406,0.209,17,494.49,0.169,340,1,188,standard,organic,1304,1
S0489,17,outerwear,16134,0.141,44,366.68,0.248,728,10,2983,negotiated,partner,681,1
S0490,4,jewelry,7891,0.141,30,263.05,0.208,325,22,3265,negotiated,partner,-923,1
S0491,21,accessories,2223,0.22,25,88.92,0.243,210,2,2221,standard,organic,206,1
S0492,7,underwear,14321,0.203,105,136.39,0.104,466,0,0,standard,organic,2391,1
S0493,29,accessories,2276,0.238,13,175.07,0.165,122,0,1347,standard,referral,370,1
S0494,28,jewelry,1936,0.203,5,387.15,0.127,59,0,0,standard,organic,359,1
S0495,28,dresses,4694,0.23,16,293.38,0.078,103,0,1990,standard,partner,968,1
S0496,13,dresses,9006,0.213,58,155.27,0.153,427,0,0,standard,partner,1486,1
S0497,23,sportswear,3860,0.207,17,227.04,0.052,55,0,245,standard,organic,722,1
S0498,36,outerwear,3811,0.215,16,238.18,0.167,177,0,1678,standard,partner,712,1
S0499,11,underwear,2027,0.228,9,225.22,0.05,30,1,895,standard,organic,339,1
S0500,26,underwear,18846,0.228,76,247.98,0.178,968,1,674,standard,organic,3113,1
